time,Pressure_Bar,Temp_DegC_0,Temp_DegC_1,latitude,longitude,timeseries_id
UTC,,,,degrees_north,degrees_east,
2021-05-14T00:10:00Z,NaN,3.263,3.266,56.7043333,-171.2195,POPS0006
2021-05-14T01:10:00Z,NaN,3.262,3.265,56.7043333,-171.2195,POPS0006
2021-05-14T02:10:00Z,NaN,3.28,3.283,56.7043333,-171.2195,POPS0006
2021-05-14T03:10:00Z,NaN,3.281,3.283,56.7043333,-171.2195,POPS0006
2021-05-14T04:10:00Z,NaN,3.279,3.282,56.7043333,-171.2195,POPS0006
2021-05-14T05:10:00Z,NaN,3.278,3.281,56.7043333,-171.2195,POPS0006
2021-05-14T06:10:00Z,NaN,3.275,3.278,56.7043333,-171.2195,POPS0006
2021-05-14T07:10:00Z,NaN,3.267,3.27,56.7043333,-171.2195,POPS0006
2021-05-14T08:10:00Z,NaN,3.255,3.258,56.7043333,-171.2195,POPS0006
2021-05-14T09:10:00Z,NaN,3.236,3.239,56.7043333,-171.2195,POPS0006
2021-05-14T10:10:00Z,NaN,3.22,3.223,56.7043333,-171.2195,POPS0006
2021-05-14T11:10:00Z,NaN,3.211,3.214,56.7043333,-171.2195,POPS0006
2021-05-14T12:10:00Z,NaN,3.203,3.206,56.7043333,-171.2195,POPS0006
2021-05-14T13:10:00Z,NaN,3.191,3.193,56.7043333,-171.2195,POPS0006
2021-05-14T14:10:00Z,NaN,3.177,3.18,56.7043333,-171.2195,POPS0006
2021-05-14T15:10:00Z,NaN,3.168,3.171,56.7043333,-171.2195,POPS0006
2021-05-14T16:10:00Z,NaN,3.163,3.167,56.7043333,-171.2195,POPS0006
2021-05-14T17:10:00Z,NaN,3.164,3.168,56.7043333,-171.2195,POPS0006
2021-05-14T18:10:00Z,NaN,3.167,3.171,56.7043333,-171.2195,POPS0006
2021-05-14T19:10:00Z,NaN,3.168,3.172,56.7043333,-171.2195,POPS0006
2021-05-14T20:10:00Z,NaN,3.166,3.17,56.7043333,-171.2195,POPS0006
2021-05-14T21:10:00Z,NaN,3.198,3.202,56.7043333,-171.2195,POPS0006
2021-05-14T22:10:00Z,NaN,3.245,3.248,56.7043333,-171.2195,POPS0006
2021-05-14T23:10:00Z,NaN,3.277,3.28,56.7043333,-171.2195,POPS0006
2021-05-15T00:10:00Z,NaN,3.281,3.285,56.7043333,-171.2195,POPS0006
2021-05-15T01:10:00Z,NaN,3.28,3.283,56.7043333,-171.2195,POPS0006
2021-05-15T02:10:00Z,NaN,3.279,3.282,56.7043333,-171.2195,POPS0006
2021-05-15T03:10:00Z,NaN,3.276,3.279,56.7043333,-171.2195,POPS0006
2021-05-15T04:10:00Z,NaN,3.275,3.278,56.7043333,-171.2195,POPS0006
2021-05-15T05:10:00Z,NaN,3.271,3.274,56.7043333,-171.2195,POPS0006
2021-05-15T06:10:00Z,NaN,3.256,3.259,56.7043333,-171.2195,POPS0006
2021-05-15T07:10:00Z,NaN,3.222,3.225,56.7043333,-171.2195,POPS0006
2021-05-15T08:10:00Z,NaN,3.193,3.196,56.7043333,-171.2195,POPS0006
2021-05-15T09:10:00Z,NaN,3.181,3.184,56.7043333,-171.2195,POPS0006
2021-05-15T10:10:00Z,NaN,3.179,3.182,56.7043333,-171.2195,POPS0006
2021-05-15T11:10:00Z,NaN,3.185,3.189,56.7043333,-171.2195,POPS0006
2021-05-15T12:10:00Z,NaN,3.197,3.201,56.7043333,-171.2195,POPS0006
2021-05-15T13:10:00Z,NaN,3.211,3.214,56.7043333,-171.2195,POPS0006
2021-05-15T14:10:00Z,NaN,3.205,3.209,56.7043333,-171.2195,POPS0006
2021-05-15T15:10:00Z,NaN,3.214,3.219,56.7043333,-171.2195,POPS0006
2021-05-15T16:10:00Z,NaN,3.206,3.208,56.7043333,-171.2195,POPS0006
2021-05-15T17:10:00Z,NaN,3.197,3.2,56.7043333,-171.2195,POPS0006
2021-05-15T18:10:00Z,NaN,3.192,3.195,56.7043333,-171.2195,POPS0006
2021-05-15T19:10:00Z,NaN,3.196,3.2,56.7043333,-171.2195,POPS0006
2021-05-15T20:10:00Z,NaN,3.205,3.208,56.7043333,-171.2195,POPS0006
2021-05-15T21:10:00Z,NaN,3.226,3.229,56.7043333,-171.2195,POPS0006
2021-05-15T22:10:00Z,NaN,3.256,3.26,56.7043333,-171.2195,POPS0006
2021-05-15T23:10:00Z,NaN,3.272,3.275,56.7043333,-171.2195,POPS0006
2021-05-16T00:10:00Z,NaN,3.274,3.277,56.7043333,-171.2195,POPS0006
2021-05-16T01:10:00Z,NaN,3.264,3.267,56.7043333,-171.2195,POPS0006
2021-05-16T02:10:00Z,NaN,3.231,3.233,56.7043333,-171.2195,POPS0006
2021-05-16T03:10:00Z,NaN,3.187,3.19,56.7043333,-171.2195,POPS0006
2021-05-16T04:10:00Z,NaN,3.189,3.193,56.7043333,-171.2195,POPS0006
2021-05-16T05:10:00Z,NaN,3.203,3.206,56.7043333,-171.2195,POPS0006
2021-05-16T06:10:00Z,NaN,3.215,3.218,56.7043333,-171.2195,POPS0006
2021-05-16T07:10:00Z,NaN,3.224,3.227,56.7043333,-171.2195,POPS0006
2021-05-16T08:10:00Z,NaN,3.226,3.229,56.7043333,-171.2195,POPS0006
2021-05-16T09:10:00Z,NaN,3.229,3.232,56.7043333,-171.2195,POPS0006
2021-05-16T10:10:00Z,NaN,3.232,3.235,56.7043333,-171.2195,POPS0006
2021-05-16T11:10:00Z,NaN,3.236,3.239,56.7043333,-171.2195,POPS0006
2021-05-16T12:10:00Z,NaN,3.238,3.242,56.7043333,-171.2195,POPS0006
2021-05-16T13:10:00Z,NaN,3.235,3.238,56.7043333,-171.2195,POPS0006
2021-05-16T14:10:00Z,NaN,3.227,3.23,56.7043333,-171.2195,POPS0006
2021-05-16T15:10:00Z,NaN,3.22,3.223,56.7043333,-171.2195,POPS0006
2021-05-16T16:10:00Z,NaN,3.218,3.221,56.7043333,-171.2195,POPS0006
2021-05-16T17:10:00Z,NaN,3.219,3.222,56.7043333,-171.2195,POPS0006
2021-05-16T18:10:00Z,NaN,3.215,3.218,56.7043333,-171.2195,POPS0006
2021-05-16T19:10:00Z,NaN,3.211,3.215,56.7043333,-171.2195,POPS0006
2021-05-16T20:10:00Z,NaN,3.212,3.215,56.7043333,-171.2195,POPS0006
2021-05-16T21:10:00Z,NaN,3.207,3.21,56.7043333,-171.2195,POPS0006
2021-05-16T22:10:00Z,NaN,3.203,3.206,56.7043333,-171.2195,POPS0006
2021-05-16T23:10:00Z,NaN,3.206,3.209,56.7043333,-171.2195,POPS0006
2021-05-17T00:10:00Z,NaN,3.208,3.212,56.7043333,-171.2195,POPS0006
2021-05-17T01:10:00Z,NaN,3.203,3.206,56.7043333,-171.2195,POPS0006
2021-05-17T02:10:00Z,NaN,3.201,3.204,56.7043333,-171.2195,POPS0006
2021-05-17T03:10:00Z,NaN,3.212,3.216,56.7043333,-171.2195,POPS0006
2021-05-17T04:10:00Z,NaN,3.215,3.219,56.7043333,-171.2195,POPS0006
2021-05-17T05:10:00Z,NaN,3.216,3.219,56.7043333,-171.2195,POPS0006
2021-05-17T06:10:00Z,NaN,3.221,3.224,56.7043333,-171.2195,POPS0006
